HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.32,1.14,1.4285714285714286,1533,1.64,1.03,1.7857142857142858,1526,0
1.17,1.25,1.3571428571428572,1523,1.67,1.07,1.9285714285714286,1529,0
1.17,1.60,1.25,1437,1.00,1.46,1.0357142857142858,1379,0
0.96,1.64,0.8928571428571429,1362,1.53,1.39,1.2142857142857142,1476,2
1.21,1.39,1.3928571428571428,1464,1.53,1.60,1.1785714285714286,1462,2
1.39,1.14,1.3928571428571428,1467,1.25,1.03,1.5714285714285714,1490,2
1.10,0.71,1.6785714285714286,1544,1.21,1.57,1.0357142857142858,1430,1
1.42,1.25,1.6428571428571428,1515,1.10,1.53,0.8214285714285714,1383,0
1.32,1.46,1.4285714285714286,1423,0.78,1.71,0.6428571428571429,1362,0
1.82,1.60,1.3928571428571428,1532,1.46,1.25,1.4285714285714286,1502,1
1.85,1.28,1.8928571428571428,1538,1.42,1.17,1.3928571428571428,1478,0
1.00,1.46,1.0357142857142858,1379,1.82,1.60,1.3928571428571428,1532,0
2.03,1.29,1.7407407407407407,1583,1.85,1.28,1.8928571428571428,1538,1
1.64,1.03,1.7857142857142858,1526,1.21,1.39,1.3928571428571428,1464,0
1.10,1.53,0.8214285714285714,1383,1.39,1.14,1.3928571428571428,1467,0
1.53,1.60,1.1785714285714286,1462,1.32,1.14,1.4285714285714286,1533,1
1.21,1.57,1.0357142857142858,1430,1.32,1.46,1.4285714285714286,1423,2
0.78,1.71,0.6428571428571429,1362,0.96,1.64,0.8928571428571429,1362,0
1.46,1.25,1.4285714285714286,1502,1.17,1.60,1.25,1437,0
1.25,1.03,1.5714285714285714,1490,0.66,1.48,0.8148148148148148,1327,0
1.53,1.39,1.2142857142857142,1476,1.17,1.25,1.3571428571428572,1523,0
1.42,1.17,1.3928571428571428,1478,1.10,0.71,1.6785714285714286,1544,2
1.67,1.07,1.9285714285714286,1529,1.42,1.25,1.6428571428571428,1515,0
1.00,1.46,1.0357142857142858,1379,1.64,1.03,1.7857142857142858,1526,2
1.17,1.25,1.3571428571428572,1523,1.25,1.03,1.5714285714285714,1490,2
1.17,1.60,1.25,1437,1.42,1.17,1.3928571428571428,1478,1
0.96,1.64,0.8928571428571429,1362,1.53,1.60,1.1785714285714286,1462,0
1.10,1.53,0.8214285714285714,1383,1.32,1.14,1.4285714285714286,1533,2
1.39,1.14,1.3928571428571428,1467,1.67,1.07,1.9285714285714286,1529,0
0.78,1.71,0.6428571428571429,1362,1.21,1.57,1.0357142857142858,1430,2
1.46,1.25,1.4285714285714286,1502,0.66,1.48,0.8148148148148148,1327,0
1.42,1.25,1.6428571428571428,1515,1.10,0.71,1.6785714285714286,1544,1
1.53,1.39,1.2142857142857142,1476,1.85,1.28,1.8928571428571428,1538,1
1.32,1.46,1.4285714285714286,1423,2.03,1.29,1.7407407407407407,1583,0
1.82,1.60,1.3928571428571428,1532,1.21,1.39,1.3928571428571428,1464,1
2.03,1.29,1.7407407407407407,1583,1.17,1.60,1.25,1437,1
1.32,1.14,1.4285714285714286,1533,1.00,1.46,1.0357142857142858,1379,1
1.64,1.03,1.7857142857142858,1526,1.32,1.46,1.4285714285714286,1423,0
1.21,1.39,1.3928571428571428,1464,1.10,1.53,0.8214285714285714,1383,1
1.53,1.60,1.1785714285714286,1462,1.82,1.60,1.3928571428571428,1532,1
1.85,1.28,1.8928571428571428,1538,1.42,1.25,1.6428571428571428,1515,2
1.21,1.57,1.0357142857142858,1430,1.39,1.14,1.3928571428571428,1467,0
1.10,0.71,1.6785714285714286,1544,0.78,1.71,0.6428571428571429,1362,0
1.67,1.07,1.9285714285714286,1529,1.46,1.25,1.4285714285714286,1502,2
1.25,1.03,1.5714285714285714,1490,0.96,1.64,0.8928571428571429,1362,0
0.66,1.48,0.8148148148148148,1327,1.17,1.25,1.3571428571428572,1523,1
1.42,1.17,1.3928571428571428,1478,1.53,1.39,1.2142857142857142,1476,1
2.03,1.29,1.7407407407407407,1583,1.00,1.46,1.0357142857142858,1379,0
1.32,1.14,1.4285714285714286,1533,1.82,1.60,1.3928571428571428,1532,2
1.64,1.03,1.7857142857142858,1526,1.42,1.25,1.6428571428571428,1515,0
1.21,1.39,1.3928571428571428,1464,0.78,1.71,0.6428571428571429,1362,0
1.53,1.60,1.1785714285714286,1462,1.46,1.25,1.4285714285714286,1502,2
1.85,1.28,1.8928571428571428,1538,1.39,1.14,1.3928571428571428,1467,1
1.21,1.57,1.0357142857142858,1430,1.10,1.53,0.8214285714285714,1383,0
1.10,0.71,1.6785714285714286,1544,1.17,1.60,1.25,1437,2
1.67,1.07,1.9285714285714286,1529,1.32,1.46,1.4285714285714286,1423,0
1.25,1.03,1.5714285714285714,1490,1.53,1.39,1.2142857142857142,1476,1
0.66,1.48,0.8148148148148148,1327,0.96,1.64,0.8928571428571429,1362,0
1.42,1.17,1.3928571428571428,1478,1.17,1.25,1.3571428571428572,1523,0
1.82,1.60,1.3928571428571428,1532,1.67,1.07,1.9285714285714286,1529,2
1.00,1.46,1.0357142857142858,1379,1.42,1.17,1.3928571428571428,1478,2
1.17,1.25,1.3571428571428572,1523,1.21,1.57,1.0357142857142858,1430,0
1.17,1.60,1.25,1437,1.53,1.60,1.1785714285714286,1462,0
0.96,1.64,0.8928571428571429,1362,2.03,1.29,1.7407407407407407,1583,2
1.10,1.53,0.8214285714285714,1383,1.10,0.71,1.6785714285714286,1544,2
1.39,1.14,1.3928571428571428,1467,1.21,1.39,1.3928571428571428,1464,2
0.78,1.71,0.6428571428571429,1362,1.64,1.03,1.7857142857142858,1526,1
1.46,1.25,1.4285714285714286,1502,1.32,1.14,1.4285714285714286,1533,0
1.42,1.25,1.6428571428571428,1515,1.25,1.03,1.5714285714285714,1490,1
1.53,1.39,1.2142857142857142,1476,0.66,1.48,0.8148148148148148,1327,0
1.32,1.46,1.4285714285714286,1423,1.85,1.28,1.8928571428571428,1538,2
1.42,1.25,1.6428571428571428,1515,1.39,1.14,1.3928571428571428,1467,1
1.32,1.14,1.4285714285714286,1533,1.17,1.60,1.25,1437,0
0.96,1.64,0.8928571428571429,1362,1.10,1.53,0.8214285714285714,1383,1
1.21,1.39,1.3928571428571428,1464,1.10,0.71,1.6785714285714286,1544,0
1.53,1.60,1.1785714285714286,1462,1.21,1.57,1.0357142857142858,1430,0
0.78,1.71,0.6428571428571429,1362,1.00,1.46,1.0357142857142858,1379,0
1.46,1.25,1.4285714285714286,1502,1.53,1.39,1.2142857142857142,1476,0
1.25,1.03,1.5714285714285714,1490,1.85,1.28,1.8928571428571428,1538,1
0.66,1.48,0.8148148148148148,1327,1.67,1.07,1.9285714285714286,1529,2
1.32,1.46,1.4285714285714286,1423,1.42,1.17,1.3928571428571428,1478,1
1.82,1.60,1.3928571428571428,1532,1.17,1.25,1.3571428571428572,1523,1
1.64,1.03,1.7857142857142858,1526,2.03,1.29,1.7407407407407407,1583,2
1.00,1.46,1.0357142857142858,1379,1.42,1.25,1.6428571428571428,1515,2
1.17,1.25,1.3571428571428572,1523,0.78,1.71,0.6428571428571429,1362,0
1.17,1.60,1.25,1437,0.96,1.64,0.8928571428571429,1362,1
1.10,1.53,0.8214285714285714,1383,1.64,1.03,1.7857142857142858,1526,2
1.39,1.14,1.3928571428571428,1467,1.53,1.60,1.1785714285714286,1462,2
1.85,1.28,1.8928571428571428,1538,0.66,1.48,0.8148148148148148,1327,0
1.21,1.57,1.0357142857142858,1430,1.46,1.25,1.4285714285714286,1502,1
1.10,0.71,1.6785714285714286,1544,1.32,1.46,1.4285714285714286,1423,1
1.67,1.07,1.9285714285714286,1529,1.21,1.39,1.3928571428571428,1464,0
1.53,1.39,1.2142857142857142,1476,1.32,1.14,1.4285714285714286,1533,2
1.42,1.17,1.3928571428571428,1478,1.25,1.03,1.5714285714285714,1490,2
2.03,1.29,1.7407407407407407,1583,1.82,1.60,1.3928571428571428,1532,1
2.03,1.29,1.7407407407407407,1583,1.53,1.39,1.2142857142857142,1476,1
1.25,1.03,1.5714285714285714,1490,1.21,1.57,1.0357142857142858,1430,1
