HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
0.94,1.05,1.1666666666666667,1414,1.00,1.72,0.9444444444444444,1348,1
1.38,1.11,1.4444444444444444,1422,1.66,1.27,1.6666666666666667,1413,1
1.16,1.33,1.3333333333333333,1381,1.61,1.27,1.7777777777777777,1421,2
0.94,1.38,0.8333333333333334,1340,1.00,1.72,0.6666666666666666,1314,1
1.44,1.72,1.1666666666666667,1389,1.61,1.05,1.6666666666666667,1452,1
1.11,1.00,1.2222222222222223,1376,1.38,1.44,1.4444444444444444,1414,0
1.11,0.94,1.4444444444444444,1438,1.72,0.72,2.0555555555555554,1528,2
1.50,1.16,1.6111111111111112,1441,1.94,1.33,1.7777777777777777,1440,1
1.11,1.22,1.3333333333333333,1376,0.94,1.61,0.7222222222222222,1406,0
1.61,1.05,1.6666666666666667,1452,1.11,0.94,1.4444444444444444,1438,0
1.61,1.27,1.7777777777777777,1421,0.94,1.05,1.1666666666666667,1414,0
1.38,1.44,1.4444444444444444,1414,1.44,1.72,1.1666666666666667,1389,0
1.72,0.72,2.0555555555555554,1528,1.11,1.22,1.3333333333333333,1376,0
1.00,1.72,0.6666666666666666,1314,1.50,1.16,1.6111111111111112,1441,2
0.94,1.61,0.7222222222222222,1406,1.38,1.11,1.4444444444444444,1422,2
0.77,1.27,1.0555555555555556,1357,1.16,1.33,1.3333333333333333,1381,1
1.00,1.72,0.9444444444444444,1348,0.94,1.38,0.8333333333333334,1340,2
1.94,1.33,1.7777777777777777,1440,1.11,1.00,1.2222222222222223,1376,0
0.94,1.05,1.1666666666666667,1414,0.77,1.27,1.0555555555555556,1357,2
1.38,1.11,1.4444444444444444,1422,1.72,0.72,2.0555555555555554,1528,1
1.16,1.33,1.3333333333333333,1381,1.44,1.72,1.1666666666666667,1389,0
1.66,1.27,1.6666666666666667,1413,1.00,1.72,0.6666666666666666,1314,0
1.11,0.94,1.4444444444444444,1438,1.38,1.44,1.4444444444444444,1414,1
1.50,1.16,1.6111111111111112,1441,0.94,1.61,0.7222222222222222,1406,0
0.94,1.38,0.8333333333333334,1340,1.61,1.05,1.6666666666666667,1452,1
1.11,1.00,1.2222222222222223,1376,1.00,1.72,0.9444444444444444,1348,2
1.11,1.22,1.3333333333333333,1376,1.94,1.33,1.7777777777777777,1440,1
1.61,1.05,1.6666666666666667,1452,1.61,1.27,1.7777777777777777,1421,0
