HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
2.07,0.96,2.3076923076923075,1.903,1.19,1.30,1.2307692307692308,1.681,0
2.74,0.74,2.4074074074074074,1.976,1.73,1.11,1.9230769230769231,1.816,0
1.30,1.30,1.4230769230769231,1.665,1.33,1.44,1.2222222222222223,1.665,0
1.07,1.69,0.9230769230769231,1.633,0.92,1.80,0.9615384615384616,1.577,2
2.26,0.57,2.5,1.94,1.42,1.80,1.2692307692307692,1.667,0
0.53,1.84,0.4230769230769231,1.502,2.03,1.42,1.9230769230769231,1.835,2
0.96,2.23,0.6538461538461539,1.564,2.00,1.34,1.9615384615384615,1.871,2
1.03,1.30,1.0384615384615385,1.6620000000000001,1.23,1.50,1.2692307692307692,1.67,1
1.07,1.50,1.0384615384615385,1.609,1.11,1.80,1.0384615384615385,1.645,2
1.33,1.44,1.2222222222222223,1.665,2.74,0.74,2.4074074074074074,1.976,2
1.23,1.50,1.2692307692307692,1.67,2.26,0.57,2.5,1.94,1
2.74,0.74,2.4074074074074074,1.976,2.03,1.42,1.9230769230769231,1.835,0
1.19,1.30,1.2307692307692308,1.681,2.00,1.34,1.9615384615384615,1.871,2
2.07,0.96,2.3076923076923075,1.903,0.84,1.32,0.96,1.643,0
1.33,1.44,1.2222222222222223,1.665,1.32,1.28,1.52,1.666,2
1.03,1.30,1.0384615384615385,1.6620000000000001,0.96,2.23,0.6538461538461539,1.564,0
1.73,1.11,1.9230769230769231,1.816,0.53,1.84,0.4230769230769231,1.502,0
0.92,1.80,0.9615384615384616,1.577,1.42,1.80,1.2692307692307692,1.667,0
1.11,1.80,1.0384615384615385,1.645,1.07,1.69,0.9230769230769231,1.633,1
1.07,1.50,1.0384615384615385,1.609,1.30,1.30,1.4230769230769231,1.665,1
2.07,0.96,2.3076923076923075,1.903,1.30,1.30,1.4230769230769231,1.665,0
1.07,1.69,0.9230769230769231,1.633,1.03,1.30,1.0384615384615385,1.6620000000000001,1
2.26,0.57,2.5,1.94,1.19,1.30,1.2307692307692308,1.681,1
1.42,1.80,1.2692307692307692,1.667,1.73,1.11,1.9230769230769231,1.816,0
1.32,1.28,1.52,1.666,1.23,1.50,1.2692307692307692,1.67,0
0.84,1.32,0.96,1.643,2.74,0.74,2.4074074074074074,1.976,0
2.00,1.34,1.9615384615384615,1.871,1.11,1.80,1.0384615384615385,1.645,1
