HGfA,HGaA,HPts/Pld,Helo,AGfA,AGaA,APts/Pld,Aelo
1.22,1.50,1.0555555555555556,1367,1.11,1.16,1.3333333333333333,1381,1
1.44,0.83,2.0,1505,0.94,1.05,1.2777777777777777,1392,2
1.38,0.77,1.5555555555555556,1496,0.50,1.88,0.4444444444444444,1293,0
1.16,1.66,0.9444444444444444,1370,1.50,0.50,2.111111111111111,1655,2
0.61,1.66,0.6666666666666666,1299,0.88,1.05,1.5,1458,2
1.11,1.66,1.3333333333333333,1406,2.38,0.50,2.5,1746,2
0.88,1.05,1.5,1458,1.44,0.83,2.0,1505,2
1.50,0.50,2.111111111111111,1655,0.61,1.66,0.6666666666666666,1299,0
2.38,0.50,2.5,1746,1.22,1.50,1.0555555555555556,1367,1
0.94,1.05,1.2777777777777777,1392,1.11,1.66,1.3333333333333333,1406,1
1.11,1.16,1.3333333333333333,1381,1.38,0.77,1.5555555555555556,1496,2
0.50,1.88,0.4444444444444444,1293,1.16,1.66,0.9444444444444444,1370,1
1.22,1.50,1.0555555555555556,1367,1.38,0.77,1.5555555555555556,1496,1
1.44,0.83,2.0,1505,1.50,0.50,2.111111111111111,1655,0
0.61,1.66,0.6666666666666666,1299,0.50,1.88,0.4444444444444444,1293,0
1.16,1.66,0.9444444444444444,1370,1.11,1.16,1.3333333333333333,1381,2
1.11,1.66,1.3333333333333333,1406,0.88,1.05,1.5,1458,0
2.38,0.50,2.5,1746,0.94,1.05,1.2777777777777777,1392,1
0.88,1.05,1.5,1458,2.38,0.50,2.5,1746,2
1.50,0.50,2.111111111111111,1655,1.11,1.66,1.3333333333333333,1406,0
1.38,0.77,1.5555555555555556,1496,1.16,1.66,0.9444444444444444,1370,0
0.94,1.05,1.2777777777777777,1392,1.22,1.50,1.0555555555555556,1367,1
1.11,1.16,1.3333333333333333,1381,0.61,1.66,0.6666666666666666,1299,0
0.50,1.88,0.4444444444444444,1293,1.44,0.83,2.0,1505,2
1.44,0.83,2.0,1505,1.11,1.16,1.3333333333333333,1381,1
0.94,1.05,1.2777777777777777,1392,0.88,1.05,1.5,1458,2
0.61,1.66,0.6666666666666666,1299,1.38,0.77,1.5555555555555556,1496,2
2.38,0.50,2.5,1746,1.50,0.50,2.111111111111111,1655,0
1.22,1.50,1.0555555555555556,1367,1.16,1.66,0.9444444444444444,1370,2
1.11,1.66,1.3333333333333333,1406,0.50,1.88,0.4444444444444444,1293,0
0.88,1.05,1.5,1458,1.22,1.50,1.0555555555555556,1367,0
1.50,0.50,2.111111111111111,1655,0.94,1.05,1.2777777777777777,1392,2
0.61,1.66,0.6666666666666666,1299,1.16,1.66,0.9444444444444444,1370,2
1.38,0.77,1.5555555555555556,1496,1.44,0.83,2.0,1505,1
1.11,1.16,1.3333333333333333,1381,1.11,1.66,1.3333333333333333,1406,0
0.50,1.88,0.4444444444444444,1293,2.38,0.50,2.5,1746,2
1.22,1.50,1.0555555555555556,1367,0.61,1.66,0.6666666666666666,1299,0
1.44,0.83,2.0,1505,1.16,1.66,0.9444444444444444,1370,0
0.94,1.05,1.2777777777777777,1392,0.50,1.88,0.4444444444444444,1293,0
0.88,1.05,1.5,1458,1.50,0.50,2.111111111111111,1655,2
1.11,1.66,1.3333333333333333,1406,1.38,0.77,1.5555555555555556,1496,0
2.38,0.50,2.5,1746,1.11,1.16,1.3333333333333333,1381,0
0.88,1.05,1.5,1458,0.50,1.88,0.4444444444444444,1293,2
2.38,0.50,2.5,1746,1.38,0.77,1.5555555555555556,1496,1
0.94,1.05,1.2777777777777777,1392,1.11,1.16,1.3333333333333333,1381,2
